"name","price","old_price","discount","category","brand","url","image_url","availability","seller"
"Chicco Fit360 Mirror Car Seat Accessory Accessories","543846","906442","40","baby products > accessories","Chicco","https://www.chiccoegypt.com/product/chicco-fit360-mirror-car-seat-accessory-accessories-ymrn-8107/","https://www.chiccoegypt.com/wp-content/uploads/2026/03/ierrakul3d42614-937x937.jpg","out_of_stock","Chicco Egypt"
"Chicco Physioforma Orthodontic Silicone Spring Collection 0 6M 4Pc Orthodontic Pacifiers","22853","38120","40.05","baby products > soothing","Chicco","https://www.chiccoegypt.com/product/chicco-physioforma-orthodontic-silicone-spring-collection-0-6m-4pc-orthodontic-pacifiers-qtuk-8506/","https://www.chiccoegypt.com/wp-content/uploads/2026/03/qpknq1kqma22436-937x937.jpg","out_of_stock","Chicco Egypt"
"Chicco Lullaby Zip All In One Portable Driftwood Playards","686976","1144992","40","baby products > playards","Chicco","https://www.chiccoegypt.com/product/chicco-lullaby-zip-all-in-one-portable-driftwood-playards-tyse-9276/","https://www.chiccoegypt.com/wp-content/uploads/2026/03/5kmequroehy2084-937x937.jpg","out_of_stock","Chicco Egypt"
"Chicco Kidfit Adapt Plus 2 In 1 Car Seat Ember Seat Belt Positioning Boosters","429342","715602","40","baby products > car seats","Chicco","https://www.chiccoegypt.com/product/chicco-kidfit-adapt-plus-2-in-1-car-seat-ember-seat-belt-positioning-boosters-styo-4870/","https://www.chiccoegypt.com/wp-content/uploads/2026/03/xtaeqiase031942-937x937.jpg","out_of_stock","Chicco Egypt"
"Chicco Gofit Plus Booster Car Seat Vivaci Seat Belt Positioning Boosters","429342","715602","40","baby products > car seats","Chicco","https://www.chiccoegypt.com/product/chicco-gofit-plus-booster-car-seat-vivaci-seat-belt-positioning-boosters-fxwu-2405/","https://www.chiccoegypt.com/wp-content/uploads/2026/03/5uoqhforgqc1928-937x937.jpg","out_of_stock","Chicco Egypt"
"Chicco Physioforma Luxe Orthodontic Silicone Ocean Blue 16 24M 2Pc Orthodontic Pacifiers","22853","38120","40.05","baby products > soothing","Chicco","https://www.chiccoegypt.com/product/chicco-physioforma-luxe-orthodontic-silicone-ocean-blue-16-24m-2pc-orthodontic-pacifiers-thrq-4569/","https://www.chiccoegypt.com/wp-content/uploads/2026/03/uvatqhrzt4n2410-937x937.jpg","out_of_stock","Chicco Egypt"
"Chicco Duo Hybrid Baby Bottle Nipple Stage 1 Slow Flow 0M 2Pk Duo Bottle","17128","28578","40.07","baby products > feeding","Chicco","https://www.chiccoegypt.com/product/chicco-duo-hybrid-baby-bottle-nipple-stage-1-slow-flow-0m-2pk-duo-bottle-ebop-4329/","https://www.chiccoegypt.com/wp-content/uploads/2026/03/hb5vitt1ps52384-937x937.jpg","out_of_stock","Chicco Egypt"
"Chicco Lullaby Playard Premium Fitted Sheet Ivory Accessories","57204","95372","40.02","baby products > accessories","Chicco","https://www.chiccoegypt.com/product/chicco-lullaby-playard-premium-fitted-sheet-ivory-accessories-zuhb-4975/","https://www.chiccoegypt.com/wp-content/uploads/2026/03/dsfhbs3iy1a2621-937x937.jpg","out_of_stock","Chicco Egypt"
"Chicco Physioforma Dual Soft Silicone 2 6M 2Pc Pearl Ballet Slipper Orthodontic Pacifiers","22853","38120","40.05","baby products > soothing","Chicco","https://www.chiccoegypt.com/product/chicco-physioforma-dual-soft-silicone-2-6m-2pc-pearl-ballet-slipper-orthodontic-pacifiers-vunb-4169/","https://www.chiccoegypt.com/wp-content/uploads/2026/03/o5rholmevs12395-937x937.jpg","out_of_stock","Chicco Egypt"
"Chicco Sport Spout Trainer 9Oz 9M 2Pk Pale Blue Teal Sippy Cups","28578","47662","40.04","baby products > feeding","Chicco","https://www.chiccoegypt.com/product/chicco-sport-spout-trainer-9oz-9m-2pk-pale-blue-teal-sippy-cups-qtnj-6975/","https://www.chiccoegypt.com/wp-content/uploads/2026/03/bhlpxcpglxg2463-937x937.jpg","out_of_stock","Chicco Egypt"
